9980E;COOP LANGUIRU - BRACADEIRA - UNIQUALITY 1007 VERDE - CONF1;ITEM INATIVO UTILIZAR MODELO C9980E
9872F;RANDON TRIEL - BRACADEIRA - UNISOFT 1232 LARANJA - CONF1;ITEM INATIVO UTILIZAR MODELO C9872F
9900F;AGCO - BRACADEIRA - UNISOFT 1029 AMARELO - CONF1;ITEM INATIVO UTILIZAR MODELO C9900F
9261C;FUTURE - BRACADEIRA BRIGADA - UNILEVE 1013 VERMELHO - CONF;ITEM INATIVO UTILIZAR MODELO C9261C
9809G;FLORYBAL - BRACADEIRA BOMBEIRO - UNISOFT 1233 VERMELHO - CONF1;ITEM INATIVO UTILIZAR MODELO C9809G
9810G;FLORYBAL - BRACADEIRA BOMBEIRO - UNIQUALITY 1015 VERDE - CONF1;ITEM INATIVO UTILIZAR MODELO C9810G
9763G;MARCOPOLO - BRACADEIRA - UNIVERSAL 1038 VERDE - CONF1;ITEM INATIVO UTILIZAR MODELO C9763G
9833G;HYOSUNG  - BRACADEIRA CIPA - UNIQUALITY 1015 VERDE - CONF1;ITEM INATIVO UTILIZAR MODELO C9833G
9834G;HYOSUNG  - BRACADEIRA CIPA - UNISOFT 1232 LARANJA - CONF1;ITEM INATIVO UTILIZAR MODELO C9834G
9080D;BEPO - BRACADEIRA - UNILEVE 1012 LARANJA - CONF;ITEM INATIVO UTILIZAR MODELO C9080D
9531E-P;MASCARELLO - BRACADEIRA - CEDROPAC LEVE  3135 AMARELO - CONF1;ITEM INATIVO UTILIZAR MODELO C9531E
9905G;AGCO - BRACADEIRA - UNILEVE 1003 AZ CELESTE - CONF1;ITEM INATIVO UTILIZAR MODELO C9905G
9653G;TODESCHINI - BRACADEIRA CIPA - UNISOFT 1015 VERDE - CONF1;ITEM INATIVO UTILIZAR MODELO C9653G
9531E-M;MASCARELLO - BRACADEIRA - CEDROPAC LEVE  3135 AMARELO - CONF1;ITEM INATIVO UTILIZAR MODELO C9531E
9533E-G;MASCARELLO - BRACADEIRA - UNIQUALITY 1013 VERMELHO - CONF1;ITEM INATIVO UTILIZAR MODELO C9533E
9533E-M;MASCARELLO - BRACADEIRA - UNIQUALITY 1013 VERMELHO - CONF1;ITEM INATIVO UTILIZAR MODELO C9533E
9533E-P;MASCARELLO - BRACADEIRA - UNIQUALITY 1013 VERMELHO - CONF1;ITEM INATIVO UTILIZAR MODELO C9533E
9645G;AGCO - BRACADEIRA - UNISOFT 1003 AZUL - CONF1;ITEM INATIVO UTILIZAR MODELO C9645G
9903G;BOSAL DO BRASIL - BRACADEIRA - CEDROPAC 3135 AMARELO - CONF1;ITEM INATIVO UTILIZAR MODELO C9903G
9935G;MARCOPLO - BRACADEIRA - UNILUX CONFORT 5137 VERDE - CONF1;ITEM INATIVO UTILIZAR MODELO C9935G
9254C;SAO MARCOS - BRACADEIRA BRIGADA - UNILEVE 1013 VERMELHO - CONF;ITEM INATIVO UTILIZAR MODELO C9254C
9916G;FLORYBAL - BRACADEIRA BOMBEIRO - UNISOFT 1233 VERM - CONF1;ITEM INATIVO UTILIZAR MODELO C9916G
9922G;FLORYBAL - BRACADEIRA CIPA  - UNIQUALITY 1015 VERDE - CONF1;ITEM INATIVO UTILIZAR MODELO C9922G
9981G;RANDON - BRACADEIRA - CEDROPAC LEVE 3135 AMARELO - CONF1;ITEM INATIVO UTILIZAR MODELO C9981G
9982G;RANDON - BRACADEIRA - UNIQUALITY 1015 VERDE  - CONF1;ITEM INATIVO UTILIZAR MODELO C9982G
9970G;DOCILE - BRACADEIRA - CEDROPAC LEVE 3135 AMARELO - CONF1;ITEM INATIVO UTILIZAR MODELO C9970G
9487E;FORMPARTS - BRACADEIRA - UNILEVE 1012 LARANJA - CONF1;ITEM INATIVO UTILIZAR MODELO C9487E
9832G;RASIP - BRACADEIRA  CIPA - UNIQUALITY 1015 VERDE - CONF1;ITEM INATIVO UTILIZAR MODELO C9832G
